Robot Name,1st Design Metaphor,Count,2nd Design Metaphor,Count,3rd Design Metaphor,Count
Aeolus,a person,6,a vacuum cleaner,3,"a Transformer from the movie ""Transformers""",2
Aibo,a dog,16,a toy,3,"Snoopy from the cartoon ""The Peanuts""",2
Aibo (1999),a dog,10,"Goddard from the show ""Jimmy Neutron""",3,"K9 from the show ""Doctor Who""",3
Aido,a razor,6,an electric toothbrush,5,a vacuum cleaner,2
Aila,a woman,8,"Rosey the robot from the show ""The Jetsons""",2,a maid,2
Aisoy KiK,a cat,7,a dog,5,a toy,3
Albert Hubo,an astronaut,7,Albert Eistein,6,a professor,2
Alfa KIKI,a woman,8,"Rosey the robot from the show ""The Jetsons""",2,a nanny,2
Ami,an astronaut,4,a person,4,"Speed Racer from the show ""Speed Racer""",2
Amigo,"Johnny 5 from the movie ""Short Circuit""",3,a trumpet,3,a vacuum cleaner,2
Amy-A2,a vacuum cleaner,5,a kiosk,3,a Segway,1
ApriPoko,a turtle,7,a chick,3,a ladybug,2
AR-600,ASIMO from Honda Robotics,4,a person,3,an astronaut,2
ARI,C-3PO from the Star Wars Franchise,5,a woman,5,a vacuum cleaner,2
Armar,"the Hulk from the comic ""The Incredible Hulk""",2,a carpet cleaner,2,a scarecrow,1
Asimo,an astronaut,8,the Michelin Man from Michelin Tire commercials,2,a person,2
Autom,a tablet,3,a kiosk,2,a child,2
Automatronic,R2-D2 from the Star Wars franchise,5,a Roomba,3,"WALL-E from the movie ""WALL-E""",2
Babyloid,a baby,5,"No-Face from the movie ""Spirited Away""",2,an otter,2
Bandit,a person,7,a lawn mower,4,"Gumby from the show ""The Gumby Show""",2
Baxter,an office chair,4,a spider,4,a person,2
BHR-5,a person,4,a doll,3,"a Transformer from the movie ""Transformers""",2
BIG-i,a trashcan,8,an eye,5,a pill,2
Blossom,a rabbit,10,a sock,3,a dog,2
Bocco Emo,a snowman,9,a baby,2,a toy,2
Buddy,a person,4,a cat,2,a dog,2
Care-O-bot 4,"Eve from the movie ""WALL-E""",2,a bowling pin,2,an alien,1
CB2,a child,8,a doll,5,a crash test dummy,2
Chili,a dragon,6,a snake,3,a bat (animal),2
CHiP,a dog,11,a wolf,2,a mouse,1
Chip CANdroid,a crash test dummy,3,a man,3,a Segway,3
Cobalt,a flashlight,5,a traffic cone,4,an ash tray,2
Cody,a forklift,3,a giraffe,2,a centipede,2
Cosero,a person,6,a Segway,2,a crash test dummy,1
Cozmo,a bulldozer,4,a forklift,2,a tank (vehicle),2
Cruzr,a blender,3,a webcam,2,a person,2
Cutii,a vacuum cleaner,5,a spatula,3,a Segway,1
Darwin-OP,a cat,5,"Batman from the comic ""Batman""",5,an alien,2
Dash and Dot,an octopus,3,a caterpillar,2,a toy,3
Deskbot,a person,3,an alien,3,a dog,2
Diego-san,a baby,7,C-3PO from the Star Wars Franchise,3,a person,3
Domgy,a dog,7,"Eve from the movie ""WALL-E""",3,a rabbit,2
Dreamer,a person,4,a trashcan,2,an alien,2
ECCE,a cyclops,5,a skeleton,4,a mannequin,2
Elli-Q,a tablet,5,a pill,2,a desk lamp,2
Emiew 3,a person,3,a cat,2,a toy,1
eMuu,"Mike Wazowski from the movie ""Monsters, Inc""",3,a human eyeball,2,a teardrop,2
EMYS,a skull,3,"E.T. from the movie ""E.T.""",2,a zombie,2
Enon,a kiosk,5,an astronaut,2,a maid,2
Erica,a woman,7,a doll,6,a mannequin,2
Fable,"WALL-E from the movie ""WALL-E""",7,a smartphone,5,a Segway,2
Farnese,a pen,2,an alien,2,a cocoon,2
Flash,"Johnny 5 from the movie ""Short Circuit""",5,a child,3,a Segway,3
Flobi,a human head,8,a woman,5,a doll,2
Furby,an owl,6,a toy,4,"Gizmo from the movie ""Gremlins""",2
FURo-i,a coffee machine,5,a smartphone,5,a humidifier,3
FURo-S,a maid,7,a woman,4,"Rosey the robot from the show ""The Jetsons""",4
Gemini,a bottle,4,R2-D2 from the Star Wars franchise,2,"a Dalek from the show ""Doctor Who""",2
Geminoid DK,a man,12,a manager,5,a mannequin,1
Geminoid F,a woman,10,a mannequin,7,a receptionist,2
Geminoid HI,a man,6,a professor,1,a mannequin,1
Heasy,"WALL-E from the movie ""WALL-E""",2,a kiosk,2,a pair of binoculars,1
HEXA,a spider,10,a crab,3,a drone,2
HOSPI,a vacuum cleaner,3,a trashcan,3,a kiosk,2
HRP-2,"a Transformer from the movie ""Transformers""",7,a skiier,3,"RoboCop from the movie ""RoboCop""",2
HRP-4,a Power Ranger from the Power Rangers franchise,4,a person,4,"RoboCop from the movie ""RoboCop""",3
HRP-4C,a woman,7,a space traveler,2,a superhero,2
Hub,"Eve from the movie ""WALL-E""",4,a speaker,3,a trashcan,2
Human Support Robot,a claw machine,4,a vacuum cleaner,2,a coffee machine,2
iCat,a cat,7,a giraffe,4,a traffic cone,2
iCub,a child,9,a doll,4,a toy,2
iPal,a child,6,a skateboarder,3,ASIMO from Honda Robotics,2
iRobiQ,a slot machine,4,a telephone,3,a cash register,2
Jelly,a car rearview mirror,4,a GPS device,3,a camera,2
Jibo,a speaker,5,a camera,4,an eyeball,2
Jimmy,a toddler,6,a mushroom,2,a skeleton,1
K5,a rocket,7,R2-D2 from the Star Wars franchise,3,"a Dalek from the show ""Doctor Who""",2
Kaspar,a doll,5,a toddler,3,"Chucky from ""Child's Play""",3
