,Robot Name,Height (cm),Weight (kg),Year,Country of Origin,Most Prominent Color,Mechanical Embodiment?,Zoomorphic Embodiment?,Humanoid Embodiment?,Can Move? (moving from A to B),number of wheels,Screen Face?,Static Face?,Mechanical Face?,number of legs,number of arms,number of eyes,Matte Body?,Mouth?,Nose?,Eyebrows?,Cheeks/blush?,Hair Follicles?,Mechanical Hair?,Furry?,Ears?,Eyelids?,Pupils?,Irises?,Eyelashes?,Lips?,mechanical spline lips?,symmetric embodiment?,Exposed Wires?
0,Aeolus,50.0,UNK,2018,United States,white,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Aibo,29.3,2.2,2018,Japan,white,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
2,Aibo (1999),27.7,1.6,1999,Japan,"gold, silver",0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3,Aido,91.4,8,2016,United States,white,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
4,Aila,173.0,97,2010,Germany,white,0.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
5,Aisoy KiK,22.3,1,2017,Spain,"green, white",1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
6,Albert Hubo,125.0,57,2005,South Korea,white,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0
7,Alfa KIKI,160.0,80,2015,Russia,white,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
8,Ami,160.0,UNK,2003,South Korea,white,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
9,Amigo,135.0,80,2012,Netherlands,white,1.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
