Demographic Group	Item Label	Response
AGE DEMOGRAPHIC GROUP	item1	18-24
	item2	25-34
	item3	35-44
	item4	45-54
	item5	55-64
	item6	65-74
	item7	75 and up
		
EDUCATION DEMOGRAPHIC GROUP	item1	Some high school
	item2	High school graduate
	item3	College Degree
	item4	Master’s Degree
	item5	Doctorate
		
GENDER DEMOGRAPHIC GROUP	item1	Man
	item2	Woman
	item3	Non-Binary
	item4	Prefer not to Answer
		
		
ORIENTATION DEMOGRAPHIC GROUP	item1	Asexual
	item2	Bisexal
	item3	Heterosexual / Straight
	item4	Homosexual / Gay
	item5	Prefer not to Answer
		
RACE DEMOGRAPHIC GROUPS	item1	Asian
	item2	Black or African American
	item3	Hispanic or Latinx
	item4	Native American or Alaska Native
	item5	Native Hawaiian or Pacific Islander
	item6	White
