Robot Name	Link	Height (cm)	Weight (kg)	Year	Country of Origin	Most Prominent Color	Mechanical Embodiment?	Zoomorphic Embodiment?	Humanoid Embodiment?	Can Move? (moving from A to B)	number of wheels	Screen Face?	Static Face?	Mechanical Face?	number of legs	number of arms	number of eyes	Matte Body?	Mouth?	Nose?	Eyebrows?	Cheeks/blush?	Hair Follicles?	Mechanical Hair?	Furry?	Ears?	Eyelids?	Pupils?	Irises?	Eyelashes?	Lips?	Eye placement (up, raised, center, low, or down?)	Distance between eyes (close, middle, far, opposite ends)	mechanical spline lips?	symmetric embodiment?	Exposed Wires?	Industry?	Toy/doll/child?	Does it ride on something?	Treads?	Hard Exterior?	High Waist-Hip Ratio	HIgh Shoulder-Waist Ratio	High Shoulder-Hip Ratio	Low Shoulder-Hip Ratio
Aeolus	https://aeolusbot.com/	50	UNK	2018	United States	white	1	0	1	1	4	1	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	0	0	1	0	1	0	1	1	1	1	0
Aibo	https://robots.ieee.org/robots/aibo2018/	29.3	2.2	2018	Japan	white	0	1	0	1	0	0	0	1	4	0	2	0	1	1	0	0	0	0	0	1	1	1	1	0	0	raised	far	0	1	0	1	0	0	0	1	0	0	0	0
Aibo (1999)	https://robots.ieee.org/robots/aibo/	27.7	1.6	1999	Japan	gold, silver	0	1	0	1	0	0	0	1	4	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
Aido	http://aidorobot.com/	91.4	8	2016	United States	white	1	0	0	1	1	1	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	1
Aila	https://robots.ieee.org/robots/aila/	173	97	2010	Germany 	white	0	0	1	1	6	0	1	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	raised	middle	0	1	0	0	0	0	0	1	1	1	0	0
Aisoy KiK	https://www.aisoy.com/kik-2/	22.3	1	2017	Spain	green, white	1	1	0	1	0	1	1	0	4	0	2	0	1	0	1	0	0	0	0	1	1	1	0	0	0	center	middle	0	1	0	1	1	1	0	1	0	0	0	1
Albert Hubo	https://robots.ieee.org/robots/alberthubo/	125	57	2005	South Korea	white	0	0	1	1	0	0	0	1	2	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	center	middle	0	1	0	0	1	0	0	1	0	1	1	0
Alfa KIKI	http://alfarobotics.ru/en/#kiki	160	80	2015	Russia	white	0	0	1	1	3-4	0	1	0	0	2	2	0	1	1	0	0	0	1	0	0	0	1	1	0	0	center	middle	0	1	0	1	0	1	0	1	1	0	0	0
Ami	https://www.roboticstoday.com/robots/ami-description	160	UNK	2003	South Korea	white	1	0	1	1	3-4	0	1	1	0	2	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	center	middle	0	1	0	0	0	1	0	1	1	1	0	1
Amigo	http://roboticopenplatform.org/wiki/AMIGO	135	80	2012	Netherlands	white	1	0	1	1	4	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0
Amy-A2	http://www.amyrobotics.com/indexpdetailsen?id=6	120	15	2018	China	white	1	0	0	1	3	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1
ApriPoko	https://gizmodo.com/372243/toshibas-apripoko-a-remote-controller-companion-robot	25	UNK	2008	Japan	white	0	1	0	1	0	0	1	0	2	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	center	far	0	1	0	1	1	0	0	1	0	0	0	0
AR-600	https://robots.ieee.org/robots/ar600/	145	65	2012	Russia	white	0	0	1	1	0	1	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	raised	middle	0	1	0	1	0	0	0	1	0	0	0	1
ARI	http://pal-robotics.com/robots/ari/	165	UNK	2019	Spain	white, orange	1	0	1	1	3	0	1	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	raised	middle	0	1	0	1	0	1	0	1	1	1	0	0
Armar	https://robots.ieee.org/robots/armar/	240	150	2017	Germany	green, blue	1	0	1	1	4	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	center	far	0	1	0	0	0	1	0	1	1	1	0	0
Asimo	https://robots.ieee.org/robots/asimo	130	48	2000	Japan	white	0	0	1	1	0	1	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	0	0	0	0	1	0	0	0	0
Autom	https://spectrum.ieee.org/automaton/robotics/home-robots/autom-robot-that-helps-you-lose-weight	30	UNK	2011	United States	white, blue	1	0	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	1	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	0
Automatronic	https://robots.ieee.org/robots/automatronics/?gallery=video1	116.8	UNK	2016	United States	green	1	0	0	1	3-4	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1
Babyloid	http://openweb.chukyo-u.ac.jp/z104123/	40	UNK	2011	Japan	brown	0	1	0	0	0	0	1	0	0	2	2	0	1	0	0	1	0	0	1	0	1	0	0	0	0	center	far	0	1	0	0	1	0	0	0	0	0	0	0
Bandit	https://robots.ieee.org/robots/bandit/	56	7.7	2006	United States	grey	1	0	1	1	4	0	0	1	0	2	2	0	1	1	1	0	0	0	0	0	0	1	0	0	1	raised	middle	1	1	1	0	0	1	0	1	0	1	1	0
Baxter	https://robots.ieee.org/robots/baxter	94	75	2012	United States	grey, red	1	0	1	1	4	1	0	0	0	2	2	0	0	0	1	0	0	0	0	0	1	1	1	0	0	center	middle	0	1	0	1	0	0	0	1	0	1	1	0
BHR-5	https://robots.ieee.org/robots/bhr	165	65	2012	China	white	1	0	1	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
BIG-i	https://www.nxrobo.com/	76.5	12	2016	China	grey	1	0	0	1	3-4	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	center	n/a	0	1	0	1	0	0	0	1	0	0	0	0
Blossom	http://www.cornell.edu/video/blossom-handcrafted-social-robot	20	UNK	2017	United States	grey	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1
Bocco Emo	https://www.theverge.com/2019/1/11/18176182/bocco-emo-robot-yukai-engineering-ces-2019	15	0.4	2019	Japan	white	0	1	1	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	1
Buddy	http://www.bluefrogrobotics.com/	50	UNK	2015	France	white	1	0	1	1	3	1	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	1	1	0	1	0	0	0	1
Care-O-bot 4	https://robots.ieee.org/robots/careobot/	148	140	2015	Germany	white	1	0	1	1	4	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	1
CB2	https://robots.ieee.org/robots/cb2/	130	33	2006	Japan	grey	0	0	1	1	0	0	1	0	2	2	2	1	1	1	0	1	9	9	9	1	1	1	1	0	1	center	middle	0	1	1	0	0	0	0	0	0	0	0	0
Chili	see Interaction Lab tech reports	30	UNK	2016	United States	red	0	1	0	0	0	1	0	0	2	2	2	0	0	0	0	0	0	0	1	0	1	1	1	0	0	center	middle	0	1	0	0	1	0	0	0	0	0	0	1
CHiP	https://wowwee.com/chip	20	0.45	2016	United States	white, blue	0	1	0	1	4	0	1	1	4	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	center	far	0	1	0	1	1	0	0	1	0	0	0	0
Chip CANdroid	https://www.commbank.com.au/guidance/newsroom/Air-New-Zealand-and-CommBank-robot-experiment-201708.html	170	100	2017	Australia	white	0	0	1	1	3	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	1	1	0
Cobalt	https://robots.ieee.org/robots/cobalt	154.9	68	2017	United States	blue	1	0	0	1	6	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	up	0	0	1	0	1	0	1	0	1	0	0	0	1
Cody	https://robots.ieee.org/robots/cody	155	136	2009	United States	white, silver	1	0	0	1	4	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0
Cosero	http://www.ais.uni-bonn.de/nimbro/@Home/robots.html	160	UNK	2010	Germany	blue	1	0	1	1	4	0	1	0	0	2	2	0	1	1	1	0	0	0	0	0	0	1	0	1	1	center	middle	0	1	1	0	0	1	0	1	0	1	1	0
Cozmo	https://www.anki.com/en-us/cozmo	5	UNK	2017	United States	white	1	0	0	1	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	raised	close	0	1	0	1	1	1	1	1	0	0	0	0
