METAPHOR,CLASSIFICATION
a person,HUMAN
a dog,ANIMAL
a razor,OBJECT
a woman,HUMAN
a cat,ANIMAL
an astronaut,HUMAN
"Johnny 5 from the movie ""Short Circuit""",ROBOT
a vacuum cleaner,OBJECT
a turtle,ANIMAL
ASIMO from Honda Robotics,ROBOT
C-3PO from the Star Wars Franchise,ROBOT
"the Hulk from the comic ""The Incredible Hulk""",HUMAN
a tablet,OBJECT
R2-D2 from the Star Wars franchise,ROBOT
a baby,HUMAN
an office chair,OBJECT
a trashcan,OBJECT
a rabbit,ANIMAL
a snowman,OBJECT
"Eve from the movie ""WALL-E""",ROBOT
a child,HUMAN
a dragon,ANIMAL
a crash test dummy,OBJECT
a flashlight,OBJECT
a forklift,OBJECT
a bulldozer,OBJECT
a blender,OBJECT
an octopus,ANIMAL
a cyclops,HUMAN
"Mike Wazowski from the movie ""Monsters, Inc""",HUMAN
a skull,OBJECT
a kiosk,OBJECT
"WALL-E from the movie ""WALL-E""",ROBOT
a pen,OBJECT
a human head,HUMAN
an owl,ANIMAL
a coffee machine,OBJECT
a maid,HUMAN
a bottle,OBJECT
a man,HUMAN
a spider,ANIMAL
"a Transformer from the movie ""Transformers""",ROBOT
a Power Ranger from the Power Rangers franchise,HUMAN
a claw machine,OBJECT
a slot machine,OBJECT
a car rearview mirror,OBJECT
a speaker,OBJECT
a toddler,HUMAN
a rocket,OBJECT
a doll,HUMAN
a rubber duck,OBJECT
"Gizmo from the movie ""Gremlins""",ANIMAL
a clown,HUMAN
a penguin,ANIMAL
a ball,OBJECT
a Furby,ROBOT
a Segway,OBJECT
an alien,HUMAN
Alarm Clock,OBJECT
a toy,OBJECT
a cactus,OBJECT
a light bulb,OBJECT
a desk lamp,OBJECT
a wheelchair,OBJECT
a donut,OBJECT
a seal,ANIMAL
a clock,OBJECT
a dinosaur,ANIMAL
the Android Logo,ROBOT
"Rosey the robot from the show ""The Jetsons""",ROBOT
"E.T. from the movie ""E.T.""",HUMAN
"Terminator from the movie ""Terminator""",ROBOT
a fire hydrant,OBJECT
a panda,ANIMAL
a bowling pin,OBJECT
an egg,OBJECT
a chicken,ANIMAL
a cardboard box,OBJECT
a tank (vehicle),OBJECT
a Roomba,ROBOT
"Static from the comic ""Static Shock""",HUMAN
"Goddard from the show ""Jimmy Neutron""",ROBOT
an electric toothbrush,OBJECT
Albert Eistein,HUMAN
a trumpet,OBJECT
a chick,ANIMAL
a carpet cleaner,OBJECT
the Michelin Man from Michelin Tire commercials,ROBOT
"No-Face from the movie ""Spirited Away""",HUMAN
a lawn mower,OBJECT
an eye,OBJECT
a sock,OBJECT
a snake,ANIMAL
a wolf,ANIMAL
a traffic cone,OBJECT
a webcam,OBJECT
a spatula,OBJECT
"Batman from the comic ""Batman""",HUMAN
a caterpillar,ANIMAL
a skeleton,OBJECT
a pill,OBJECT
a human eyeball,OBJECT
a smartphone,OBJECT
a manager,HUMAN
